lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-05-03 02:17:05.420039,,,,,,,,,,,,,,
,2023-05-03 02:17:05.947328,0.02411428466439247,9.633509762352332e-05,-13.896785736083984,49.0,0.0,,,,,,,,,
0.02,2023-05-03 02:17:32.009733,,,,,,,,,,,,,,
,2023-05-03 02:17:32.534391,0.21483108401298523,0.0008994382806122303,-27.54878044128418,99.0,0.0,,,,,,,,,
0.02,2023-05-03 02:17:58.743232,,,,,,,,,,,,,,
,2023-05-03 02:17:59.276364,0.2525610625743866,0.0010741346050053835,-41.127960205078125,149.0,0.0,,,,,,,,,
0.02,2023-05-03 02:18:25.505141,,,,,,,,,,,,,,
,2023-05-03 02:18:26.038828,0.16643185913562775,0.0012173122959211469,-54.65879440307617,199.0,0.0,,,,,,,,,
0.02,2023-05-03 02:18:52.263634,,,,,,,,,,,,,,
,2023-05-03 02:18:52.796976,0.05360182002186775,0.00018204837397206575,-68.06339263916016,249.0,0.0,,,,,,,,,
,2023-05-03 02:18:55.989704,,,,,0.0,0.23400448262691498,0.0015062503516674042,-68.14733123779297,0.07111351937055588,0.00034174180473200977,-68.31023406982422,,,
,2023-05-03 02:18:55.997698,,,,,0.0,,,,,,,0.1169358491897583,0.0014855548506602645,-34.312461853027344
0.02,2023-05-03 02:19:22.762801,,,,,,,,,,,,,,
,2023-05-03 02:19:23.294535,0.021361026912927628,9.19006415642798e-05,-81.24357604980469,299.0,1.0,,,,,,,,,
0.02,2023-05-03 02:19:49.546545,,,,,,,,,,,,,,
,2023-05-03 02:19:50.082872,0.11822193115949631,0.000438397575635463,-94.15612030029297,349.0,1.0,,,,,,,,,
0.02,2023-05-03 02:20:16.330361,,,,,,,,,,,,,,
,2023-05-03 02:20:16.862027,0.032057277858257294,0.00011590636859182268,-107.11673736572266,399.0,1.0,,,,,,,,,
0.02,2023-05-03 02:20:43.138258,,,,,,,,,,,,,,
