lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-05-03 00:57:14.259804,,,,,,,,,,,,,,
,2023-05-03 00:57:14.789910,0.02409924939274788,9.627263352740556e-05,-2.7601497173309326,49.0,0.0,,,,,,,,,
0.02,2023-05-03 00:57:40.923755,,,,,,,,,,,,,,
,2023-05-03 00:57:41.456529,0.21482519805431366,0.0008994071395136416,-5.337983131408691,99.0,0.0,,,,,,,,,
0.02,2023-05-03 00:58:08.187505,,,,,,,,,,,,,,
,2023-05-03 00:58:08.725634,0.2525331377983093,0.001074016559869051,-8.023625373840332,149.0,0.0,,,,,,,,,
0.02,2023-05-03 00:58:35.590144,,,,,,,,,,,,,,
,2023-05-03 00:58:36.123644,0.16644740104675293,0.0012173742288723588,-10.798623085021973,199.0,0.0,,,,,,,,,
0.02,2023-05-03 00:59:02.482500,,,,,,,,,,,,,,
,2023-05-03 00:59:03.031775,0.053594786673784256,0.00018201861530542374,-13.569803237915039,249.0,0.0,,,,,,,,,
,2023-05-03 00:59:06.614790,,,,,0.0,0.23400187492370605,0.0015062439488247037,-13.442265510559082,0.0710902214050293,0.0003416413674131036,-13.60517692565918,,,
,2023-05-03 00:59:06.621522,,,,,0.0,,,,,,,0.11693444848060608,0.0014855522895231843,-6.768985271453857
0.02,2023-05-03 00:59:33.950837,,,,,,,,,,,,,,
,2023-05-03 00:59:34.517998,0.02136673778295517,9.192852303385735e-05,-16.231597900390625,299.0,1.0,,,,,,,,,
0.02,2023-05-03 01:00:02.651033,,,,,,,,,,,,,,
,2023-05-03 01:00:03.185297,0.11823727190494537,0.00043845409527421,-18.736589431762695,349.0,1.0,,,,,,,,,
0.02,2023-05-03 01:00:29.446559,,,,,,,,,,,,,,
,2023-05-03 01:00:29.982263,0.03205784782767296,0.00011590706708375365,-21.39763832092285,399.0,1.0,,,,,,,,,
0.02,2023-05-03 01:00:57.142409,,,,,,,,,,,,,,
,2023-05-03 01:00:57.677304,0.02608250081539154,9.055473492480814e-05,-23.95203399658203,449.0,1.0,,,,,,,,,
0.02,2023-05-03 01:01:24.228738,,,,,,,,,,,,,,
,2023-05-03 01:01:28.448705,0.13883107900619507,0.0006537490407936275,-26.361703872680664,499.0,1.0,,,,,,,,,
,2023-05-03 01:01:30.791262,,,,,1.0,0.249156653881073,0.002564790192991495,-26.301563262939453,0.1027563214302063,0.0004527354321908206,-26.44796371459961,,,
,2023-05-03 01:01:30.801020,,,,,1.0,,,,,,,0.1278686374425888,0.0012883457820862532,-20.081340789794922
0.02,2023-05-03 01:03:31.079998,,,,,,,,,,,,,,
,2023-05-03 01:03:31.614498,0.0538642555475235,0.00018792215269058943,-28.943456649780273,549.0,2.0,,,,,,,,,
0.02,2023-05-03 01:03:57.835554,,,,,,,,,,,,,,
,2023-05-03 01:03:58.366672,0.08987101167440414,0.00034596986370161176,-31.378955841064453,599.0,2.0,,,,,,,,,
0.02,2023-05-03 01:04:24.680118,,,,,,,,,,,,,,
,2023-05-03 01:04:25.207015,0.15191134810447693,0.0014253651024773717,-33.763458251953125,649.0,2.0,,,,,,,,,
0.02,2023-05-03 01:04:51.472275,,,,,,,,,,,,,,
,2023-05-03 01:04:52.006289,0.07791885733604431,0.00026249061920680106,-36.259334564208984,699.0,2.0,,,,,,,,,
0.02,2023-05-03 01:05:18.264198,,,,,,,,,,,,,,
,2023-05-03 01:05:18.807023,0.22324985265731812,0.0011407866841182113,-38.51151657104492,749.0,2.0,,,,,,,,,
,2023-05-03 01:05:21.199683,,,,,2.0,0.06143239513039589,0.00027301913360133767,-38.72103500366211,0.10928734391927719,0.001473880372941494,-38.67317581176758,,,
,2023-05-03 01:05:21.205962,,,,,2.0,,,,,,,0.12842638790607452,0.0022704978473484516,-32.58353805541992
0.02,2023-05-03 01:05:48.363117,,,,,,,,,,,,,,
,2023-05-03 01:05:48.892230,0.17391392588615417,0.0014054179191589355,-40.93426513671875,799.0,3.0,,,,,,,,,
0.02,2023-05-03 01:06:15.139355,,,,,,,,,,,,,,
,2023-05-03 01:06:15.673528,0.05459967255592346,0.00019358974532224238,-43.403160095214844,849.0,3.0,,,,,,,,,
0.02,2023-05-03 01:06:42.061842,,,,,,,,,,,,,,
,2023-05-03 01:06:42.607169,0.1765405535697937,0.0008059024112299085,-45.60723114013672,899.0,3.0,,,,,,,,,
0.02,2023-05-03 01:07:10.216718,,,,,,,,,,,,,,
,2023-05-03 01:07:10.750995,0.021754801273345947,8.512349450029433e-05,-48.06471633911133,949.0,3.0,,,,,,,,,
0.02,2023-05-03 01:07:37.023569,,,,,,,,,,,,,,
,2023-05-03 01:07:39.292734,0.24530039727687836,0.00108810025267303,-50.12080383300781,999.0,3.0,,,,,,,,,
,2023-05-03 01:07:41.279916,,,,,3.0,0.024695053696632385,9.533679985906929e-05,-50.38677215576172,0.19041717052459717,0.0012446764158084989,-50.221046447753906,,,
,2023-05-03 01:07:41.290145,,,,,3.0,,,,,,,0.10854138433933258,0.0009566260268911719,-44.54057312011719
